Disparity of Point  9482 =  (1063, 127) = 28
Disparity of Point  11843 =  (847, 156) = 15
Disparity of Point  11844 =  (847, 156) = 15
Disparity of Point  11880 =  (1051, 156) = 27
Disparity of Point  11881 =  (1052, 156) = 27
Disparity of Point  11882 =  (1052, 156) = 27
Disparity of Point  11883 =  (1053, 156) = 27
Disparity of Point  11884 =  (1059, 156) = 28
Disparity of Point  11894 =  (407, 157) = 10
Disparity of Point  11895 =  (407, 157) = 10
Disparity of Point  11914 =  (627, 157) = 5
Disparity of Point  11915 =  (627, 157) = 5
Disparity of Point  11916 =  (635, 157) = 7
Disparity of Point  11920 =  (680, 157) = 5
Disparity of Point  11921 =  (680, 157) = 5
Disparity of Point  11922 =  (688, 157) = 5
Disparity of Point  11923 =  (688, 157) = 5
Disparity of Point  11924 =  (722, 157) = 24
Disparity of Point  11925 =  (722, 157) = 24
Disparity of Point  11926 =  (758, 157) = 9
Disparity of Point  11927 =  (758, 157) = 9
Disparity of Point  11934 =  (853, 157) = 15
Disparity of Point  11935 =  (853, 157) = 15
Disparity of Point  11961 =  (392, 158) = 10
Disparity of Point  11962 =  (409, 158) = 10
Disparity of Point  11963 =  (410, 158) = 10
Disparity of Point  11964 =  (410, 158) = 10
Disparity of Point  11965 =  (411, 158) = 10
Disparity of Point  11974 =  (489, 158) = 7
Disparity of Point  11975 =  (489, 158) = 7
Disparity of Point  11976 =  (490, 158) = 7
Disparity of Point  11977 =  (490, 158) = 7
Disparity of Point  11980 =  (504, 158) = 7
Disparity of Point  11981 =  (509, 158) = 8
Disparity of Point  11982 =  (510, 158) = 8
Disparity of Point  12002 =  (616, 158) = 5
Disparity of Point  12003 =  (616, 158) = 5
Disparity of Point  12005 =  (627, 158) = 5
Disparity of Point  12028 =  (840, 158) = 12
Disparity of Point  12029 =  (840, 158) = 12
Disparity of Point  12030 =  (853, 158) = 15
Disparity of Point  12031 =  (853, 158) = 15
Disparity of Point  12068 =  (1055, 158) = 27
Disparity of Point  12069 =  (1056, 158) = 27
Disparity of Point  12070 =  (1056, 158) = 27
Disparity of Point  12071 =  (1057, 158) = 27
Disparity of Point  12072 =  (1057, 158) = 27
Disparity of Point  12084 =  (411, 159) = 10
Disparity of Point  12085 =  (411, 159) = 10
Disparity of Point  12092 =  (492, 159) = 7
Disparity of Point  12093 =  (492, 159) = 7
Disparity of Point  12096 =  (501, 159) = 8
Disparity of Point  12099 =  (508, 159) = 8
Disparity of Point  12100 =  (508, 159) = 8
Disparity of Point  12102 =  (510, 159) = 8
Disparity of Point  12118 =  (688, 159) = 5
Disparity of Point  12119 =  (688, 159) = 5
Disparity of Point  12138 =  (853, 159) = 15
Disparity of Point  12139 =  (853, 159) = 15
Disparity of Point  12147 =  (979, 159) = 23
Disparity of Point  12148 =  (979, 159) = 23
Disparity of Point  12149 =  (980, 159) = 23
Disparity of Point  12150 =  (980, 159) = 23
Disparity of Point  12151 =  (981, 159) = 23
Disparity of Point  12152 =  (981, 159) = 23
Disparity of Point  12166 =  (1024, 159) = 25
Disparity of Point  12167 =  (1024, 159) = 25
Disparity of Point  12170 =  (1035, 159) = 26
Disparity of Point  12171 =  (1035, 159) = 26
Disparity of Point  12178 =  (1053, 159) = 27
Disparity of Point  12179 =  (1053, 159) = 27
Disparity of Point  12180 =  (1054, 159) = 27
Disparity of Point  12181 =  (1054, 159) = 27
Disparity of Point  12182 =  (1055, 159) = 27
Disparity of Point  12183 =  (392, 160) = 10
Disparity of Point  12184 =  (392, 160) = 10
Disparity of Point  12187 =  (410, 160) = 10
Disparity of Point  12192 =  (454, 160) = 7
Disparity of Point  12193 =  (454, 160) = 7
Disparity of Point  12198 =  (510, 160) = 8
Disparity of Point  12199 =  (510, 160) = 8
Disparity of Point  12208 =  (614, 160) = 5
Disparity of Point  12209 =  (616, 160) = 5
Disparity of Point  12212 =  (679, 160) = 5
Disparity of Point  12216 =  (688, 160) = 5
Disparity of Point  12217 =  (688, 160) = 5
Disparity of Point  12238 =  (806, 160) = 12
Disparity of Point  12243 =  (822, 160) = 12
Disparity of Point  12244 =  (822, 160) = 12
Disparity of Point  12245 =  (824, 160) = 12
Disparity of Point  12246 =  (824, 160) = 12
Disparity of Point  12259 =  (961, 160) = 22
Disparity of Point  12260 =  (963, 160) = 22
Disparity of Point  12261 =  (965, 160) = 22
Disparity of Point  12263 =  (972, 160) = 22
Disparity of Point  12264 =  (972, 160) = 22
Disparity of Point  12270 =  (1020, 160) = 25
Disparity of Point  12271 =  (1020, 160) = 25
Disparity of Point  12274 =  (1044, 160) = 27
Disparity of Point  12275 =  (1044, 160) = 27
Disparity of Point  12276 =  (1045, 160) = 27
Disparity of Point  12277 =  (1045, 160) = 27
Disparity of Point  12279 =  (1048, 160) = 27
Disparity of Point  12280 =  (1049, 160) = 27
Disparity of Point  12281 =  (1049, 160) = 27
Disparity of Point  12287 =  (394, 161) = 10
Disparity of Point  12288 =  (394, 161) = 10
Disparity of Point  12289 =  (395, 161) = 10
Disparity of Point  12290 =  (396, 161) = 10
Disparity of Point  12291 =  (396, 161) = 10
Disparity of Point  12292 =  (397, 161) = 10
Disparity of Point  12293 =  (397, 161) = 10
Disparity of Point  12294 =  (397, 161) = 10
Disparity of Point  12298 =  (416, 161) = 10
Disparity of Point  12299 =  (416, 161) = 10
Disparity of Point  12300 =  (416, 161) = 10
Disparity of Point  12306 =  (490, 161) = 7
Disparity of Point  12307 =  (490, 161) = 7
Disparity of Point  12308 =  (493, 161) = 7
Disparity of Point  12309 =  (493, 161) = 7
Disparity of Point  12328 =  (611, 161) = 5
Disparity of Point  12329 =  (611, 161) = 5
Disparity of Point  12332 =  (679, 161) = 5
Disparity of Point  12333 =  (679, 161) = 5
Disparity of Point  12351 =  (805, 161) = 12
Disparity of Point  12352 =  (805, 161) = 12
Disparity of Point  12357 =  (946, 161) = 21
Disparity of Point  12360 =  (972, 161) = 22
Disparity of Point  12361 =  (972, 161) = 22
Disparity of Point  12372 =  (1002, 161) = 24
Disparity of Point  12373 =  (1008, 161) = 24
Disparity of Point  12374 =  (1008, 161) = 24
Disparity of Point  12377 =  (1014, 161) = 25
Disparity of Point  12378 =  (1014, 161) = 25
Disparity of Point  12379 =  (1017, 161) = 25
Disparity of Point  12380 =  (1017, 161) = 25
Disparity of Point  12381 =  (1019, 161) = 25
Disparity of Point  12382 =  (1020, 161) = 25
Disparity of Point  12408 =  (411, 162) = 10
Disparity of Point  12409 =  (411, 162) = 10
Disparity of Point  12410 =  (417, 162) = 10
Disparity of Point  12411 =  (417, 162) = 10
Disparity of Point  12414 =  (419, 162) = 10
Disparity of Point  12415 =  (419, 162) = 10
Disparity of Point  12416 =  (436, 162) = 14
Disparity of Point  12417 =  (436, 162) = 14
Disparity of Point  12424 =  (482, 162) = 6
Disparity of Point  12425 =  (482, 162) = 6
Disparity of Point  12426 =  (482, 162) = 6
Disparity of Point  12427 =  (484, 162) = 6
Disparity of Point  12428 =  (484, 162) = 6
Disparity of Point  12429 =  (490, 162) = 7
Disparity of Point  12430 =  (490, 162) = 7
Disparity of Point  12448 =  (684, 162) = 5
Disparity of Point  12449 =  (684, 162) = 5
Disparity of Point  12459 =  (786, 162) = 12
Disparity of Point  12460 =  (786, 162) = 12
Disparity of Point  12476 =  (975, 162) = 22
Disparity of Point  12477 =  (975, 162) = 22
Disparity of Point  12480 =  (981, 162) = 23
Disparity of Point  12481 =  (981, 162) = 23
Disparity of Point  12482 =  (988, 162) = 23
Disparity of Point  12483 =  (989, 162) = 23
Disparity of Point  12484 =  (989, 162) = 23
Disparity of Point  12487 =  (991, 162) = 23
Disparity of Point  12493 =  (1006, 162) = 24
Disparity of Point  12494 =  (1006, 162) = 24
Disparity of Point  12495 =  (1007, 162) = 24
Disparity of Point  12496 =  (1007, 162) = 24
Disparity of Point  12503 =  (1036, 162) = 26
Disparity of Point  12509 =  (1055, 162) = 27
Disparity of Point  12510 =  (1057, 162) = 27
Disparity of Point  12511 =  (1057, 162) = 27
Disparity of Point  12512 =  (1058, 162) = 27
Disparity of Point  12513 =  (1058, 162) = 27
Disparity of Point  12516 =  (395, 163) = 10
Disparity of Point  12517 =  (398, 163) = 10
Disparity of Point  12518 =  (398, 163) = 10
Disparity of Point  12519 =  (410, 163) = 10
Disparity of Point  12520 =  (410, 163) = 10
Disparity of Point  12537 =  (508, 163) = 8
Disparity of Point  12538 =  (508, 163) = 8
Disparity of Point  12549 =  (678, 163) = 5
Disparity of Point  12551 =  (681, 163) = 5
Disparity of Point  12560 =  (806, 163) = 12
Disparity of Point  12566 =  (957, 163) = 21
Disparity of Point  12568 =  (961, 163) = 21
Disparity of Point  12569 =  (975, 163) = 22
Disparity of Point  12570 =  (975, 163) = 22
Disparity of Point  12584 =  (1025, 163) = 25
Disparity of Point  12585 =  (1025, 163) = 25
Disparity of Point  12586 =  (1026, 163) = 25
Disparity of Point  12587 =  (1026, 163) = 25
Disparity of Point  12588 =  (1027, 163) = 25
Disparity of Point  12589 =  (1027, 163) = 25
Disparity of Point  12594 =  (1039, 163) = 26
Disparity of Point  12595 =  (1040, 163) = 26
Disparity of Point  12596 =  (1040, 163) = 26
Disparity of Point  12597 =  (1041, 163) = 26
Disparity of Point  12598 =  (1041, 163) = 26
Disparity of Point  12603 =  (1047, 163) = 27
Disparity of Point  12604 =  (1047, 163) = 27
Disparity of Point  12605 =  (1047, 163) = 27
Disparity of Point  12606 =  (1053, 163) = 27
Disparity of Point  12607 =  (1054, 163) = 27
Disparity of Point  12608 =  (384, 164) = 10
Disparity of Point  12609 =  (384, 164) = 10
Disparity of Point  12612 =  (402, 164) = 10
Disparity of Point  12613 =  (404, 164) = 10
Disparity of Point  12614 =  (409, 164) = 10
Disparity of Point  12615 =  (409, 164) = 10
Disparity of Point  12637 =  (678, 164) = 5
Disparity of Point  12638 =  (681, 164) = 5
Disparity of Point  12639 =  (681, 164) = 5
Disparity of Point  12640 =  (687, 164) = 5
Disparity of Point  12641 =  (687, 164) = 5
Disparity of Point  12645 =  (756, 164) = 12
Disparity of Point  12646 =  (756, 164) = 12
Disparity of Point  12647 =  (756, 164) = 12
Disparity of Point  12648 =  (757, 164) = 12
Disparity of Point  12649 =  (762, 164) = 12
Disparity of Point  12650 =  (762, 164) = 12
Disparity of Point  12651 =  (763, 164) = 12
Disparity of Point  12652 =  (763, 164) = 12
Disparity of Point  12657 =  (806, 164) = 12
Disparity of Point  12658 =  (806, 164) = 12
Disparity of Point  12661 =  (945, 164) = 20
Disparity of Point  12664 =  (957, 164) = 21
Disparity of Point  12665 =  (957, 164) = 21
Disparity of Point  12666 =  (959, 164) = 21
Disparity of Point  12667 =  (959, 164) = 21
Disparity of Point  12668 =  (971, 164) = 22
Disparity of Point  12669 =  (971, 164) = 22
Disparity of Point  12673 =  (991, 164) = 23
Disparity of Point  12674 =  (991, 164) = 23
Disparity of Point  12675 =  (994, 164) = 23
Disparity of Point  12676 =  (994, 164) = 23
Disparity of Point  12685 =  (1015, 164) = 25
Disparity of Point  12686 =  (1015, 164) = 25
Disparity of Point  12690 =  (1021, 164) = 25
Disparity of Point  12691 =  (1021, 164) = 25
Disparity of Point  12694 =  (1023, 164) = 25
Disparity of Point  12695 =  (1023, 164) = 25
Disparity of Point  12696 =  (1039, 164) = 26
Disparity of Point  12697 =  (1039, 164) = 26
Disparity of Point  12701 =  (1048, 164) = 27
Disparity of Point  12702 =  (1048, 164) = 27
Disparity of Point  12704 =  (1053, 164) = 27
Disparity of Point  12705 =  (1053, 164) = 27
Disparity of Point  12706 =  (384, 165) = 10
Disparity of Point  12707 =  (384, 165) = 10
Disparity of Point  12711 =  (404, 165) = 10
Disparity of Point  12712 =  (404, 165) = 10
Disparity of Point  12713 =  (409, 165) = 10
Disparity of Point  12714 =  (409, 165) = 10
Disparity of Point  12715 =  (409, 165) = 10
Disparity of Point  12717 =  (458, 165) = 7
Disparity of Point  12718 =  (458, 165) = 7
Disparity of Point  12722 =  (479, 165) = 6
Disparity of Point  12723 =  (479, 165) = 6
Disparity of Point  12724 =  (480, 165) = 6
Disparity of Point  12729 =  (509, 165) = 8
Disparity of Point  12733 =  (624, 165) = 5
Disparity of Point  12739 =  (677, 165) = 5
Disparity of Point  12740 =  (677, 165) = 5
Disparity of Point  12741 =  (677, 165) = 5
Disparity of Point  12743 =  (681, 165) = 5
Disparity of Point  12744 =  (687, 165) = 5
Disparity of Point  12745 =  (687, 165) = 5
Disparity of Point  12746 =  (694, 165) = 5
Disparity of Point  12747 =  (695, 165) = 5
Disparity of Point  12748 =  (695, 165) = 5
Disparity of Point  12777 =  (945, 165) = 20
Disparity of Point  12788 =  (975, 165) = 22
Disparity of Point  12789 =  (975, 165) = 22
Disparity of Point  12790 =  (978, 165) = 22
Disparity of Point  12791 =  (978, 165) = 22
Disparity of Point  12792 =  (988, 165) = 23
Disparity of Point  12793 =  (989, 165) = 23
Disparity of Point  12794 =  (992, 165) = 23
Disparity of Point  12795 =  (992, 165) = 23
Disparity of Point  12796 =  (993, 165) = 23
Disparity of Point  12797 =  (993, 165) = 23
Disparity of Point  12798 =  (1006, 165) = 24
Disparity of Point  12799 =  (1006, 165) = 24
Disparity of Point  12802 =  (1008, 165) = 24
Disparity of Point  12803 =  (1008, 165) = 24
Disparity of Point  12804 =  (1009, 165) = 24
Disparity of Point  12805 =  (1009, 165) = 24
Disparity of Point  12806 =  (1010, 165) = 24
Disparity of Point  12807 =  (1010, 165) = 24
Disparity of Point  12808 =  (1011, 165) = 24
Disparity of Point  12809 =  (1011, 165) = 24
Disparity of Point  12811 =  (1026, 165) = 25
Disparity of Point  12812 =  (1026, 165) = 25
Disparity of Point  12813 =  (1027, 165) = 25
Disparity of Point  12814 =  (1027, 165) = 25
Disparity of Point  12823 =  (1051, 165) = 27
Disparity of Point  12824 =  (1051, 165) = 27
Disparity of Point  12827 =  (1053, 165) = 27
Disparity of Point  12832 =  (401, 166) = 10
Disparity of Point  12833 =  (401, 166) = 10
Disparity of Point  12836 =  (458, 166) = 7
Disparity of Point  12842 =  (483, 166) = 6
Disparity of Point  12846 =  (508, 166) = 8
Disparity of Point  12861 =  (622, 166) = 5
Disparity of Point  12862 =  (625, 166) = 5
Disparity of Point  12863 =  (625, 166) = 5
Disparity of Point  12884 =  (851, 166) = 15
Disparity of Point  12885 =  (851, 166) = 15
Disparity of Point  12894 =  (949, 166) = 21
Disparity of Point  12895 =  (949, 166) = 21
Disparity of Point  12898 =  (959, 166) = 21
Disparity of Point  12900 =  (967, 166) = 22
Disparity of Point  12901 =  (967, 166) = 22
Disparity of Point  12902 =  (967, 166) = 22
Disparity of Point  12903 =  (969, 166) = 22
Disparity of Point  12904 =  (969, 166) = 22
Disparity of Point  12907 =  (975, 166) = 22
Disparity of Point  12908 =  (975, 166) = 22
Disparity of Point  12909 =  (988, 166) = 23
Disparity of Point  12910 =  (988, 166) = 23
Disparity of Point  12912 =  (998, 166) = 24
Disparity of Point  12913 =  (998, 166) = 24
Disparity of Point  12914 =  (999, 166) = 24
Disparity of Point  12915 =  (999, 166) = 24
Disparity of Point  12916 =  (1000, 166) = 24
Disparity of Point  12917 =  (1000, 166) = 24
Disparity of Point  12918 =  (1001, 166) = 24
Disparity of Point  12919 =  (1001, 166) = 24
Disparity of Point  12920 =  (1002, 166) = 24
Disparity of Point  12921 =  (1002, 166) = 24
Disparity of Point  12925 =  (1025, 166) = 25
Disparity of Point  12926 =  (1025, 166) = 25
Disparity of Point  12928 =  (1039, 166) = 26
Disparity of Point  12929 =  (1039, 166) = 26
Disparity of Point  12930 =  (1045, 166) = 27
Disparity of Point  12931 =  (1045, 166) = 27
Disparity of Point  12932 =  (1048, 166) = 27
Disparity of Point  12933 =  (1048, 166) = 27
Disparity of Point  12934 =  (384, 167) = 10
Disparity of Point  12935 =  (384, 167) = 10
Disparity of Point  12936 =  (399, 167) = 10
Disparity of Point  12937 =  (400, 167) = 10
Disparity of Point  12938 =  (400, 167) = 10
