Disparity of Point  10347 =  (1063, 127) = 28
Disparity of Point  11895 =  (823, 145) = 12
Disparity of Point  11896 =  (823, 145) = 12
Disparity of Point  11897 =  (852, 145) = 15
Disparity of Point  11898 =  (852, 145) = 15
Disparity of Point  11972 =  (721, 146) = 24
Disparity of Point  11973 =  (721, 146) = 24
Disparity of Point  11988 =  (861, 146) = 15
Disparity of Point  11989 =  (861, 146) = 15
Disparity of Point  12006 =  (1064, 146) = 28
Disparity of Point  12011 =  (411, 147) = 10
Disparity of Point  12012 =  (411, 147) = 10
Disparity of Point  12017 =  (435, 147) = 14
Disparity of Point  12018 =  (435, 147) = 14
Disparity of Point  12076 =  (722, 147) = 24
Disparity of Point  12089 =  (803, 147) = 12
Disparity of Point  12090 =  (803, 147) = 12
Disparity of Point  12091 =  (806, 147) = 12
Disparity of Point  12092 =  (806, 147) = 12
Disparity of Point  12093 =  (823, 147) = 12
Disparity of Point  12094 =  (823, 147) = 12
Disparity of Point  12097 =  (861, 147) = 15
Disparity of Point  12098 =  (861, 147) = 15
Disparity of Point  12099 =  (863, 147) = 15
Disparity of Point  12100 =  (863, 147) = 15
Disparity of Point  12128 =  (481, 148) = 6
Disparity of Point  12129 =  (481, 148) = 6
Disparity of Point  12130 =  (483, 148) = 6
Disparity of Point  12131 =  (483, 148) = 6
Disparity of Point  12132 =  (484, 148) = 6
Disparity of Point  12133 =  (484, 148) = 6
Disparity of Point  12168 =  (680, 148) = 5
Disparity of Point  12169 =  (682, 148) = 5
Disparity of Point  12170 =  (682, 148) = 5
Disparity of Point  12171 =  (684, 148) = 5
Disparity of Point  12172 =  (684, 148) = 5
Disparity of Point  12173 =  (687, 148) = 5
Disparity of Point  12174 =  (687, 148) = 5
Disparity of Point  12177 =  (722, 148) = 24
Disparity of Point  12178 =  (722, 148) = 24
Disparity of Point  12183 =  (752, 148) = 9
Disparity of Point  12184 =  (752, 148) = 9
Disparity of Point  12185 =  (754, 148) = 9
Disparity of Point  12186 =  (754, 148) = 9
Disparity of Point  12195 =  (803, 148) = 12
Disparity of Point  12196 =  (803, 148) = 12
Disparity of Point  12199 =  (823, 148) = 12
Disparity of Point  12200 =  (823, 148) = 12
Disparity of Point  12201 =  (861, 148) = 15
Disparity of Point  12202 =  (862, 148) = 15
Disparity of Point  12203 =  (862, 148) = 15
Disparity of Point  12207 =  (1051, 148) = 27
Disparity of Point  12208 =  (1051, 148) = 27
Disparity of Point  12223 =  (408, 149) = 10
Disparity of Point  12288 =  (806, 149) = 12
Disparity of Point  12289 =  (806, 149) = 12
Disparity of Point  12290 =  (823, 149) = 12
Disparity of Point  12291 =  (823, 149) = 12
Disparity of Point  12308 =  (403, 150) = 10
Disparity of Point  12311 =  (411, 150) = 10
Disparity of Point  12312 =  (412, 150) = 10
Disparity of Point  12373 =  (803, 150) = 12
Disparity of Point  12374 =  (803, 150) = 12
Disparity of Point  12375 =  (823, 150) = 12
Disparity of Point  12376 =  (823, 150) = 12
Disparity of Point  12383 =  (1039, 150) = 26
Disparity of Point  12384 =  (1039, 150) = 26
Disparity of Point  12395 =  (1061, 150) = 28
Disparity of Point  12396 =  (1061, 150) = 28
Disparity of Point  12397 =  (1062, 150) = 28
Disparity of Point  12406 =  (405, 151) = 10
Disparity of Point  12407 =  (405, 151) = 10
Disparity of Point  12410 =  (407, 151) = 10
Disparity of Point  12411 =  (407, 151) = 10
Disparity of Point  12412 =  (407, 151) = 10
Disparity of Point  12413 =  (412, 151) = 10
Disparity of Point  12414 =  (413, 151) = 10
Disparity of Point  12415 =  (413, 151) = 10
Disparity of Point  12438 =  (679, 151) = 5
Disparity of Point  12439 =  (679, 151) = 5
Disparity of Point  12440 =  (682, 151) = 5
Disparity of Point  12441 =  (682, 151) = 5
Disparity of Point  12442 =  (684, 151) = 5
Disparity of Point  12443 =  (684, 151) = 5
Disparity of Point  12446 =  (723, 151) = 24
Disparity of Point  12447 =  (723, 151) = 24
Disparity of Point  12458 =  (803, 151) = 12
Disparity of Point  12459 =  (803, 151) = 12
Disparity of Point  12494 =  (1055, 151) = 27
Disparity of Point  12495 =  (1056, 151) = 27
Disparity of Point  12502 =  (382, 152) = 8
Disparity of Point  12515 =  (463, 152) = 6
Disparity of Point  12516 =  (463, 152) = 6
Disparity of Point  12518 =  (469, 152) = 6
Disparity of Point  12519 =  (469, 152) = 6
Disparity of Point  12522 =  (476, 152) = 6
Disparity of Point  12523 =  (486, 152) = 6
Disparity of Point  12524 =  (486, 152) = 6
Disparity of Point  12543 =  (626, 152) = 5
Disparity of Point  12544 =  (626, 152) = 5
Disparity of Point  12551 =  (682, 152) = 5
Disparity of Point  12552 =  (682, 152) = 5
Disparity of Point  12553 =  (684, 152) = 5
Disparity of Point  12554 =  (684, 152) = 5
Disparity of Point  12564 =  (803, 152) = 12
Disparity of Point  12565 =  (803, 152) = 12
Disparity of Point  12566 =  (824, 152) = 12
Disparity of Point  12569 =  (826, 152) = 12
Disparity of Point  12570 =  (826, 152) = 12
Disparity of Point  12571 =  (827, 152) = 12
Disparity of Point  12572 =  (827, 152) = 12
Disparity of Point  12594 =  (1051, 152) = 27
Disparity of Point  12595 =  (1055, 152) = 27
Disparity of Point  12596 =  (1055, 152) = 27
Disparity of Point  12597 =  (1063, 152) = 28
Disparity of Point  12611 =  (441, 153) = 14
Disparity of Point  12612 =  (441, 153) = 14
Disparity of Point  12616 =  (467, 153) = 6
Disparity of Point  12641 =  (638, 153) = 7
Disparity of Point  12642 =  (679, 153) = 5
Disparity of Point  12643 =  (679, 153) = 5
Disparity of Point  12644 =  (682, 153) = 5
Disparity of Point  12645 =  (684, 153) = 5
Disparity of Point  12646 =  (684, 153) = 5
Disparity of Point  12655 =  (849, 153) = 15
Disparity of Point  12666 =  (1022, 153) = 25
Disparity of Point  12667 =  (1022, 153) = 25
Disparity of Point  12668 =  (1023, 153) = 25
Disparity of Point  12669 =  (1023, 153) = 25
Disparity of Point  12673 =  (1055, 153) = 27
Disparity of Point  12674 =  (1055, 153) = 27
Disparity of Point  12683 =  (431, 154) = 9
Disparity of Point  12684 =  (431, 154) = 9
Disparity of Point  12699 =  (497, 154) = 8
Disparity of Point  12700 =  (497, 154) = 8
Disparity of Point  12703 =  (515, 154) = 8
Disparity of Point  12704 =  (515, 154) = 8
Disparity of Point  12712 =  (635, 154) = 7
Disparity of Point  12713 =  (636, 154) = 7
Disparity of Point  12715 =  (680, 154) = 5
Disparity of Point  12716 =  (680, 154) = 5
Disparity of Point  12717 =  (684, 154) = 5
Disparity of Point  12720 =  (725, 154) = 24
Disparity of Point  12721 =  (725, 154) = 24
Disparity of Point  12728 =  (848, 154) = 15
Disparity of Point  12729 =  (853, 154) = 15
Disparity of Point  12730 =  (853, 154) = 15
Disparity of Point  12749 =  (1038, 154) = 26
Disparity of Point  12750 =  (1051, 154) = 27
Disparity of Point  12755 =  (384, 155) = 8
Disparity of Point  12756 =  (384, 155) = 8
Disparity of Point  12765 =  (430, 155) = 9
Disparity of Point  12766 =  (430, 155) = 9
Disparity of Point  12772 =  (463, 155) = 6
Disparity of Point  12773 =  (463, 155) = 6
Disparity of Point  12774 =  (464, 155) = 6
Disparity of Point  12775 =  (464, 155) = 6
Disparity of Point  12776 =  (465, 155) = 6
Disparity of Point  12777 =  (465, 155) = 6
Disparity of Point  12778 =  (477, 155) = 6
Disparity of Point  12779 =  (477, 155) = 6
Disparity of Point  12780 =  (479, 155) = 6
Disparity of Point  12781 =  (479, 155) = 6
Disparity of Point  12811 =  (635, 155) = 7
Disparity of Point  12812 =  (635, 155) = 7
Disparity of Point  12815 =  (680, 155) = 5
Disparity of Point  12816 =  (680, 155) = 5
Disparity of Point  12817 =  (684, 155) = 5
Disparity of Point  12826 =  (758, 155) = 9
Disparity of Point  12827 =  (758, 155) = 9
Disparity of Point  12832 =  (976, 155) = 22
Disparity of Point  12833 =  (976, 155) = 22
Disparity of Point  12834 =  (977, 155) = 22
Disparity of Point  12835 =  (977, 155) = 22
Disparity of Point  12836 =  (978, 155) = 22
Disparity of Point  12841 =  (1007, 155) = 24
Disparity of Point  12842 =  (1007, 155) = 24
Disparity of Point  12843 =  (1008, 155) = 24
Disparity of Point  12844 =  (1008, 155) = 24
Disparity of Point  12847 =  (1021, 155) = 25
Disparity of Point  12861 =  (1055, 155) = 27
Disparity of Point  12862 =  (1061, 155) = 28
Disparity of Point  12869 =  (394, 156) = 10
Disparity of Point  12870 =  (394, 156) = 10
Disparity of Point  12877 =  (480, 156) = 6
Disparity of Point  12878 =  (480, 156) = 6
Disparity of Point  12879 =  (503, 156) = 7
Disparity of Point  12880 =  (504, 156) = 7
Disparity of Point  12881 =  (504, 156) = 7
Disparity of Point  12882 =  (505, 156) = 7
Disparity of Point  12883 =  (505, 156) = 7
Disparity of Point  12906 =  (619, 156) = 5
Disparity of Point  12919 =  (680, 156) = 5
Disparity of Point  12920 =  (680, 156) = 5
Disparity of Point  12921 =  (688, 156) = 5
Disparity of Point  12922 =  (688, 156) = 5
Disparity of Point  12923 =  (723, 156) = 24
Disparity of Point  12924 =  (723, 156) = 24
Disparity of Point  12925 =  (723, 156) = 24
Disparity of Point  12926 =  (724, 156) = 24
Disparity of Point  12927 =  (724, 156) = 24
Disparity of Point  12933 =  (758, 156) = 9
Disparity of Point  12934 =  (758, 156) = 9
Disparity of Point  12935 =  (847, 156) = 15
Disparity of Point  12936 =  (847, 156) = 15
Disparity of Point  12969 =  (1051, 156) = 27
Disparity of Point  12970 =  (1052, 156) = 27
Disparity of Point  12971 =  (1052, 156) = 27
Disparity of Point  12972 =  (1053, 156) = 27
Disparity of Point  12973 =  (1059, 156) = 28
Disparity of Point  12999 =  (627, 157) = 5
Disparity of Point  13000 =  (627, 157) = 5
Disparity of Point  13004 =  (680, 157) = 5
Disparity of Point  13005 =  (680, 157) = 5
Disparity of Point  13006 =  (688, 157) = 5
Disparity of Point  13007 =  (688, 157) = 5
Disparity of Point  13008 =  (722, 157) = 24
Disparity of Point  13009 =  (722, 157) = 24
Disparity of Point  13012 =  (758, 157) = 9
Disparity of Point  13013 =  (758, 157) = 9
Disparity of Point  13022 =  (853, 157) = 15
Disparity of Point  13023 =  (853, 157) = 15
Disparity of Point  13048 =  (1033, 157) = 26
Disparity of Point  13049 =  (1033, 157) = 26
Disparity of Point  13053 =  (392, 158) = 10
Disparity of Point  13054 =  (409, 158) = 10
Disparity of Point  13055 =  (410, 158) = 10
Disparity of Point  13056 =  (410, 158) = 10
Disparity of Point  13057 =  (411, 158) = 10
Disparity of Point  13067 =  (489, 158) = 7
Disparity of Point  13068 =  (489, 158) = 7
Disparity of Point  13069 =  (490, 158) = 7
Disparity of Point  13070 =  (490, 158) = 7
Disparity of Point  13075 =  (504, 158) = 7
Disparity of Point  13077 =  (510, 158) = 8
Disparity of Point  13093 =  (616, 158) = 5
Disparity of Point  13094 =  (616, 158) = 5
Disparity of Point  13096 =  (627, 158) = 5
Disparity of Point  13123 =  (853, 158) = 15
Disparity of Point  13124 =  (853, 158) = 15
Disparity of Point  13168 =  (1055, 158) = 27
Disparity of Point  13169 =  (1057, 158) = 27
Disparity of Point  13170 =  (1057, 158) = 27
Disparity of Point  13182 =  (411, 159) = 10
Disparity of Point  13183 =  (411, 159) = 10
Disparity of Point  13189 =  (492, 159) = 7
Disparity of Point  13190 =  (492, 159) = 7
Disparity of Point  13193 =  (501, 159) = 8
Disparity of Point  13198 =  (508, 159) = 8
Disparity of Point  13199 =  (508, 159) = 8
Disparity of Point  13201 =  (510, 159) = 8
Disparity of Point  13222 =  (688, 159) = 5
Disparity of Point  13223 =  (688, 159) = 5
Disparity of Point  13241 =  (853, 159) = 15
Disparity of Point  13242 =  (853, 159) = 15
Disparity of Point  13255 =  (979, 159) = 23
Disparity of Point  13256 =  (979, 159) = 23
Disparity of Point  13257 =  (980, 159) = 23
Disparity of Point  13258 =  (980, 159) = 23
Disparity of Point  13259 =  (981, 159) = 23
Disparity of Point  13260 =  (981, 159) = 23
Disparity of Point  13271 =  (1024, 159) = 25
Disparity of Point  13272 =  (1024, 159) = 25
Disparity of Point  13281 =  (1053, 159) = 27
Disparity of Point  13282 =  (1053, 159) = 27
Disparity of Point  13283 =  (1054, 159) = 27
Disparity of Point  13284 =  (1054, 159) = 27
Disparity of Point  13285 =  (1055, 159) = 27
Disparity of Point  13286 =  (392, 160) = 10
Disparity of Point  13287 =  (392, 160) = 10
Disparity of Point  13290 =  (410, 160) = 10
Disparity of Point  13297 =  (454, 160) = 7
Disparity of Point  13298 =  (454, 160) = 7
Disparity of Point  13303 =  (500, 160) = 8
Disparity of Point  13304 =  (500, 160) = 8
Disparity of Point  13316 =  (614, 160) = 5
Disparity of Point  13321 =  (679, 160) = 5
Disparity of Point  13324 =  (688, 160) = 5
Disparity of Point  13325 =  (688, 160) = 5
Disparity of Point  13344 =  (806, 160) = 12
Disparity of Point  13347 =  (808, 160) = 12
Disparity of Point  13348 =  (808, 160) = 12
Disparity of Point  13349 =  (809, 160) = 12
Disparity of Point  13350 =  (809, 160) = 12
Disparity of Point  13359 =  (821, 160) = 12
Disparity of Point  13360 =  (821, 160) = 12
Disparity of Point  13361 =  (822, 160) = 12
Disparity of Point  13362 =  (822, 160) = 12
Disparity of Point  13363 =  (824, 160) = 12
Disparity of Point  13364 =  (824, 160) = 12
Disparity of Point  13365 =  (825, 160) = 12
Disparity of Point  13366 =  (825, 160) = 12
Disparity of Point  13379 =  (961, 160) = 22
Disparity of Point  13382 =  (963, 160) = 22
Disparity of Point  13383 =  (965, 160) = 22
Disparity of Point  13384 =  (966, 160) = 22
Disparity of Point  13385 =  (966, 160) = 22
Disparity of Point  13386 =  (972, 160) = 22
Disparity of Point  13387 =  (972, 160) = 22
Disparity of Point  13396 =  (1020, 160) = 25
Disparity of Point  13397 =  (1020, 160) = 25
Disparity of Point  13400 =  (1035, 160) = 26
Disparity of Point  13401 =  (1035, 160) = 26
Disparity of Point  13405 =  (1049, 160) = 27
Disparity of Point  13406 =  (1049, 160) = 27
Disparity of Point  13411 =  (394, 161) = 10
Disparity of Point  13412 =  (394, 161) = 10
Disparity of Point  13413 =  (395, 161) = 10
Disparity of Point  13414 =  (396, 161) = 10
Disparity of Point  13415 =  (396, 161) = 10
Disparity of Point  13416 =  (397, 161) = 10
Disparity of Point  13417 =  (397, 161) = 10
Disparity of Point  13418 =  (397, 161) = 10
Disparity of Point  13422 =  (410, 161) = 10
Disparity of Point  13423 =  (410, 161) = 10
Disparity of Point  13429 =  (493, 161) = 7
Disparity of Point  13430 =  (493, 161) = 7
Disparity of Point  13452 =  (611, 161) = 5
Disparity of Point  13453 =  (611, 161) = 5
Disparity of Point  13456 =  (679, 161) = 5
Disparity of Point  13457 =  (679, 161) = 5
Disparity of Point  13485 =  (805, 161) = 12
Disparity of Point  13486 =  (805, 161) = 12
Disparity of Point  13489 =  (946, 161) = 21
Disparity of Point  13495 =  (981, 161) = 23
Disparity of Point  13500 =  (999, 161) = 24
Disparity of Point  13501 =  (999, 161) = 24
Disparity of Point  13502 =  (1008, 161) = 24
Disparity of Point  13503 =  (1008, 161) = 24
Disparity of Point  13506 =  (1014, 161) = 25
Disparity of Point  13507 =  (1014, 161) = 25
Disparity of Point  13508 =  (1017, 161) = 25
Disparity of Point  13509 =  (1017, 161) = 25
Disparity of Point  13510 =  (1019, 161) = 25
Disparity of Point  13511 =  (1020, 161) = 25
Disparity of Point  13536 =  (417, 162) = 10
Disparity of Point  13537 =  (417, 162) = 10
Disparity of Point  13540 =  (419, 162) = 10
Disparity of Point  13541 =  (419, 162) = 10
Disparity of Point  13550 =  (482, 162) = 6
Disparity of Point  13551 =  (482, 162) = 6
Disparity of Point  13552 =  (482, 162) = 6
Disparity of Point  13553 =  (484, 162) = 6
Disparity of Point  13554 =  (484, 162) = 6
Disparity of Point  13574 =  (684, 162) = 5
Disparity of Point  13575 =  (684, 162) = 5
Disparity of Point  13576 =  (687, 162) = 5
Disparity of Point  13577 =  (687, 162) = 5
Disparity of Point  13578 =  (687, 162) = 5
Disparity of Point  13584 =  (758, 162) = 11
Disparity of Point  13585 =  (758, 162) = 11
Disparity of Point  13612 =  (975, 162) = 22
Disparity of Point  13613 =  (975, 162) = 22
Disparity of Point  13615 =  (988, 162) = 23
Disparity of Point  13616 =  (989, 162) = 23
Disparity of Point  13617 =  (989, 162) = 23
Disparity of Point  13620 =  (991, 162) = 23
Disparity of Point  13624 =  (1004, 162) = 24
Disparity of Point  13625 =  (1004, 162) = 24
Disparity of Point  13628 =  (1006, 162) = 24
Disparity of Point  13629 =  (1006, 162) = 24
Disparity of Point  13630 =  (1007, 162) = 24
Disparity of Point  13631 =  (1007, 162) = 24
Disparity of Point  13636 =  (1036, 162) = 26
Disparity of Point  13641 =  (1054, 162) = 27
Disparity of Point  13642 =  (1055, 162) = 27
Disparity of Point  13643 =  (1057, 162) = 27
Disparity of Point  13644 =  (1057, 162) = 27
Disparity of Point  13647 =  (395, 163) = 10
Disparity of Point  13648 =  (398, 163) = 10
Disparity of Point  13649 =  (398, 163) = 10
Disparity of Point  13670 =  (508, 163) = 8
Disparity of Point  13671 =  (508, 163) = 8
Disparity of Point  13683 =  (681, 163) = 5
Disparity of Point  13698 =  (806, 163) = 12
Disparity of Point  13704 =  (961, 163) = 21
Disparity of Point  13705 =  (975, 163) = 22
Disparity of Point  13706 =  (975, 163) = 22
Disparity of Point  13719 =  (1025, 163) = 25
Disparity of Point  13720 =  (1025, 163) = 25
Disparity of Point  13721 =  (1026, 163) = 25
Disparity of Point  13722 =  (1026, 163) = 25
Disparity of Point  13723 =  (1027, 163) = 25
Disparity of Point  13724 =  (1027, 163) = 25
Disparity of Point  13729 =  (1039, 163) = 26
Disparity of Point  13730 =  (1040, 163) = 26
Disparity of Point  13731 =  (1040, 163) = 26
Disparity of Point  13732 =  (1041, 163) = 26
Disparity of Point  13733 =  (1041, 163) = 26
Disparity of Point  13736 =  (1047, 163) = 27
Disparity of Point  13737 =  (1047, 163) = 27
Disparity of Point  13738 =  (1047, 163) = 27
Disparity of Point  13739 =  (1053, 163) = 27
Disparity of Point  13740 =  (1054, 163) = 27
Disparity of Point  13741 =  (384, 164) = 10
Disparity of Point  13742 =  (384, 164) = 10
Disparity of Point  13746 =  (402, 164) = 10
Disparity of Point  13747 =  (403, 164) = 10
Disparity of Point  13748 =  (403, 164) = 10
Disparity of Point  13749 =  (404, 164) = 10
Disparity of Point  13750 =  (409, 164) = 10
Disparity of Point  13751 =  (409, 164) = 10
Disparity of Point  13774 =  (678, 164) = 5
Disparity of Point  13775 =  (681, 164) = 5
Disparity of Point  13776 =  (681, 164) = 5
Disparity of Point  13777 =  (687, 164) = 5
Disparity of Point  13778 =  (687, 164) = 5
Disparity of Point  13786 =  (756, 164) = 12
Disparity of Point  13787 =  (756, 164) = 12
Disparity of Point  13788 =  (756, 164) = 12
Disparity of Point  13789 =  (757, 164) = 12
Disparity of Point  13790 =  (762, 164) = 12
Disparity of Point  13791 =  (762, 164) = 12
Disparity of Point  13792 =  (763, 164) = 12
Disparity of Point  13793 =  (763, 164) = 12
Disparity of Point  13798 =  (806, 164) = 12
Disparity of Point  13799 =  (806, 164) = 12
Disparity of Point  13805 =  (957, 164) = 21
Disparity of Point  13806 =  (957, 164) = 21
Disparity of Point  13807 =  (959, 164) = 21
Disparity of Point  13808 =  (959, 164) = 21
Disparity of Point  13809 =  (971, 164) = 22
Disparity of Point  13810 =  (971, 164) = 22
Disparity of Point  13814 =  (991, 164) = 23
Disparity of Point  13815 =  (991, 164) = 23
Disparity of Point  13816 =  (994, 164) = 23
Disparity of Point  13817 =  (994, 164) = 23
Disparity of Point  13825 =  (1014, 164) = 25
Disparity of Point  13826 =  (1014, 164) = 25
Disparity of Point  13827 =  (1015, 164) = 25
Disparity of Point  13828 =  (1015, 164) = 25
Disparity of Point  13829 =  (1017, 164) = 25
Disparity of Point  13830 =  (1017, 164) = 25
Disparity of Point  13834 =  (1021, 164) = 25
Disparity of Point  13835 =  (1021, 164) = 25
Disparity of Point  13838 =  (1023, 164) = 25
Disparity of Point  13839 =  (1023, 164) = 25
Disparity of Point  13840 =  (1039, 164) = 26
Disparity of Point  13841 =  (1039, 164) = 26
Disparity of Point  13845 =  (1048, 164) = 27
Disparity of Point  13846 =  (1048, 164) = 27
Disparity of Point  13848 =  (1053, 164) = 27
Disparity of Point  13849 =  (1053, 164) = 27
Disparity of Point  13850 =  (384, 165) = 10
Disparity of Point  13851 =  (384, 165) = 10
Disparity of Point  13855 =  (404, 165) = 10
Disparity of Point  13856 =  (404, 165) = 10
Disparity of Point  13857 =  (409, 165) = 10
Disparity of Point  13858 =  (409, 165) = 10
Disparity of Point  13859 =  (409, 165) = 10
Disparity of Point  13862 =  (455, 165) = 7
Disparity of Point  13863 =  (458, 165) = 7
Disparity of Point  13864 =  (458, 165) = 7
Disparity of Point  13868 =  (479, 165) = 6
Disparity of Point  13869 =  (479, 165) = 6
Disparity of Point  13870 =  (480, 165) = 6
Disparity of Point  13873 =  (509, 165) = 8
Disparity of Point  13877 =  (624, 165) = 5
Disparity of Point  13879 =  (681, 165) = 5
Disparity of Point  13880 =  (687, 165) = 5
Disparity of Point  13881 =  (687, 165) = 5
Disparity of Point  13882 =  (694, 165) = 5
Disparity of Point  13883 =  (695, 165) = 5
Disparity of Point  13884 =  (695, 165) = 5
Disparity of Point  13915 =  (975, 165) = 22
Disparity of Point  13916 =  (975, 165) = 22
Disparity of Point  13917 =  (978, 165) = 22
Disparity of Point  13918 =  (978, 165) = 22
Disparity of Point  13919 =  (989, 165) = 23
Disparity of Point  13920 =  (992, 165) = 23
Disparity of Point  13921 =  (992, 165) = 23
Disparity of Point  13922 =  (993, 165) = 23
Disparity of Point  13923 =  (993, 165) = 23
Disparity of Point  13926 =  (1004, 165) = 24
Disparity of Point  13927 =  (1004, 165) = 24
Disparity of Point  13930 =  (1008, 165) = 24
Disparity of Point  13931 =  (1008, 165) = 24
Disparity of Point  13932 =  (1009, 165) = 24
Disparity of Point  13933 =  (1009, 165) = 24
Disparity of Point  13934 =  (1010, 165) = 24
Disparity of Point  13935 =  (1010, 165) = 24
Disparity of Point  13939 =  (1026, 165) = 25
Disparity of Point  13940 =  (1026, 165) = 25
Disparity of Point  13941 =  (1027, 165) = 25
Disparity of Point  13942 =  (1027, 165) = 25
Disparity of Point  13947 =  (1049, 165) = 27
Disparity of Point  13948 =  (1049, 165) = 27
Disparity of Point  13955 =  (1053, 165) = 27
Disparity of Point  13958 =  (401, 166) = 10
Disparity of Point  13959 =  (401, 166) = 10
Disparity of Point  13964 =  (458, 166) = 7
Disparity of Point  13967 =  (460, 166) = 7
Disparity of Point  13973 =  (483, 166) = 6
Disparity of Point  13979 =  (508, 166) = 8
Disparity of Point  13990 =  (622, 166) = 5
Disparity of Point  14020 =  (851, 166) = 15
Disparity of Point  14021 =  (851, 166) = 15
Disparity of Point  14034 =  (949, 166) = 21
Disparity of Point  14035 =  (949, 166) = 21
Disparity of Point  14038 =  (959, 166) = 21
Disparity of Point  14039 =  (960, 166) = 21
Disparity of Point  14040 =  (960, 166) = 21
Disparity of Point  14042 =  (969, 166) = 22
Disparity of Point  14043 =  (969, 166) = 22
Disparity of Point  14046 =  (975, 166) = 22
Disparity of Point  14047 =  (975, 166) = 22
Disparity of Point  14053 =  (998, 166) = 24
Disparity of Point  14054 =  (998, 166) = 24
Disparity of Point  14055 =  (999, 166) = 24
Disparity of Point  14056 =  (999, 166) = 24
Disparity of Point  14057 =  (1000, 166) = 24
Disparity of Point  14058 =  (1000, 166) = 24
Disparity of Point  14059 =  (1001, 166) = 24
Disparity of Point  14060 =  (1001, 166) = 24
Disparity of Point  14061 =  (1002, 166) = 24
Disparity of Point  14062 =  (1002, 166) = 24
Disparity of Point  14065 =  (1025, 166) = 25
Disparity of Point  14066 =  (1025, 166) = 25
Disparity of Point  14067 =  (1039, 166) = 26
Disparity of Point  14068 =  (1039, 166) = 26
Disparity of Point  14069 =  (1045, 166) = 27
Disparity of Point  14070 =  (1045, 166) = 27
Disparity of Point  14071 =  (1048, 166) = 27
Disparity of Point  14072 =  (1048, 166) = 27
Disparity of Point  14073 =  (384, 167) = 10
Disparity of Point  14074 =  (384, 167) = 10
Disparity of Point  14075 =  (397, 167) = 10
Disparity of Point  14076 =  (397, 167) = 10
Disparity of Point  14077 =  (399, 167) = 10
Disparity of Point  14078 =  (400, 167) = 10
Disparity of Point  14079 =  (400, 167) = 10
Disparity of Point  14080 =  (401, 167) = 10
Disparity of Point  14081 =  (403, 167) = 10
Disparity of Point  14082 =  (417, 167) = 10
Disparity of Point  14088 =  (461, 167) = 7
Disparity of Point  14089 =  (464, 167) = 7
Disparity of Point  14091 =  (480, 167) = 6
Disparity of Point  14092 =  (480, 167) = 6
Disparity of Point  14093 =  (512, 167) = 8
Disparity of Point  14100 =  (625, 167) = 5
Disparity of Point  14101 =  (627, 167) = 5
Disparity of Point  14102 =  (627, 167) = 5
Disparity of Point  14103 =  (627, 167) = 5
Disparity of Point  14107 =  (688, 167) = 5
Disparity of Point  14108 =  (694, 167) = 5
Disparity of Point  14109 =  (694, 167) = 5
Disparity of Point  14112 =  (737, 167) = 24
Disparity of Point  14141 =  (957, 167) = 21
Disparity of Point  14142 =  (957, 167) = 21
Disparity of Point  14144 =  (975, 167) = 22
Disparity of Point  14145 =  (975, 167) = 22
Disparity of Point  14146 =  (978, 167) = 22
Disparity of Point  14148 =  (989, 167) = 23
Disparity of Point  14149 =  (989, 167) = 23
Disparity of Point  14150 =  (991, 167) = 23
Disparity of Point  14151 =  (991, 167) = 23
Disparity of Point  14154 =  (1008, 167) = 24
Disparity of Point  14155 =  (1008, 167) = 24
